Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Grouped Reforestation Project by Cropzone Agro Forestry Private Limited","2833","CropZone Agro Forestry Private Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Registered,,,0,40303,1350,38953
"Kijani Forestry smallholder farmer forestry project","4475","Kijani Forestry","Verra","AR-ACM0003","Agriculture; forestry and fishing","Uganda",Listed,,,0,0,0,0
"Moldova Community Forestry Development Project","6J7W437VA4321BQ1V50OCM3PQ2VA2H","Om Sakthi Power Private","CDM Registry","CDM - AR-AM0002","Afforestation and reforestation","Moldova",Withdrawn,2006-11-01T00:00:00.000Z,2036-10-31T12:00:00.000Z,0,0,0,0
"Reforestation of severely degraded landmass in Khammam District of Andhra Pradesh, India under ITC Social Forestry Project","IRNSR8NSZMDTUK8PB7ICGE5KNE7CJZ","PricewaterhouseCoopers","CDM Registry","CDM - AR-AM0001","Afforestation and reforestation","India",Registered,2001-07-02T00:00:00.000Z,2031-07-01T00:00:00.000Z,809794,404897,0,404897
"WithOneSeed Timor Leste Community Forestry Program","GS4210","xPand Foundation","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Timor-Leste",Registered,,,0,0,0,0
"Agro Forestry01","3588","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Pakistan",Listed,,,0,0,0,0
"Motor Verde+Floresta Forestry Carbon Project. Portugal Central Region I","4286","Grupo SYLVESTRIS SL","Verra","Methodology Under Development","Agriculture; forestry and fishing","Portugal",Listed,,,0,0,0,0
"Rai Matak Covalima Community Forestry Program","GS11743","xPand Foundation","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Timor-Leste",Listed,,,0,0,0,0
"Nigeria Community-based Forestry Project","5038","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Nigeria",Listed,,,0,0,0,0
"Eastern Cape Bamboo Forestry Project, South Africa","3632","EcoPlanet Bamboo Group","Verra","AR-ACM0003","Agriculture; forestry and fishing","South Africa",Listed,,,0,0,0,0
"COMMUNITY PARTICIPATIVE FORESTRY/AGROFORESTRY DEVELOPMENT PROJECT IN INDIA","3553","Indian Farm Forestry Development Co-operative Ltd.","Verra","AR-AMS0007","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Agro-forestry Interventions in Koraput district of Orissa","OV736B5Z6FTBARE2RCOQOPTCHP3KRE","Patneswari Agri. Cooperative","CDM Registry","CDM - AR-AMS0004","Afforestation and reforestation","India",Registered,2009-07-28T00:00:00.000Z,2039-07-27T00:00:00.000Z,50294,50294,0,50294
"Forestry Project for the Basin of the Chinchiná River, an Environmental and Productive Alternative for the City and the Region","JJ6I8M51HL6I4B3IS7VMO0WRZT2ASS","Carbono & Bosques, CAEMA","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Colombia",Registered,2002-06-04T00:00:00.000Z,2022-06-03T00:00:00.000Z,288518,288518,0,288518
"Congjiang Agriculture and Forestry Biomass Power Project","XVLDQ10813MAO1VNTOL5Y1NU8DML2P","n.a.","CDM Registry","CDM - ACM0018","Energy industries (renewable - / non-renewable sources)","China",Authorized,2014-06-01T00:00:00.000Z,2021-05-31T00:00:00.000Z,0,0,0,0
"Nigeria Community-based Forestry Project","5038","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Nigeria",Listed,,,0,0,0,0
"CDM Project for Forestry Restoration in Productive and Biological Corridors in the Eastern Plains of Colombia","Q6APY67C396D5BCQVCYU1UQTQEATEQ","n.a.","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Colombia",De-registered,2005-06-02T00:00:00.000Z,2025-06-01T00:00:00.000Z,1282853,1282853,1257195,25658
"Amigos de Calakmul Community Conservation Forestry Program, Mexico","3479","Not specified","Verra","ACM0010","Agriculture; forestry and fishing","Mexico",Listed,,,0,0,0,0
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR","1684","Lao Thai Hua Rubber Co. Ltd","Verra","AR-ACM0003","Agriculture; forestry and fishing","Lao People's Democratic Republic",Listed,,,0,106092,65551,40541
"Quebec Forestry Sector Carbon Sequestration Grouped Project Pivot","1916","Not specified","Verra","VM0034","Agriculture; forestry and fishing","Canada",Listed,,,0,395721,7991,387730
"Community Forestry Initiatives in India","3552","SAUNTA GAUNTA FOUNDATION","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR.","02KH97HWZ25EXXPVGLS7MYE5PLNF7W","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Lao People's Democratic Republic",Validated,2008-06-01T00:00:00.000Z,2038-06-01T12:00:00.000Z,0,0,0,0
"Paracel ARR Carbon Forestry Project","3196","PARACEL SA","Verra","AR-ACM0003","Agriculture; forestry and fishing","Paraguay",Listed,,,0,0,0,0
"Mitigation of GHG: Rubber based agro-forestry system for sustainable development and poverty reduction in Pakkading, Bolikhamsay Province, Lao PDR.","VG9OE34YH3VA3E2HZG1BEO24VAR2NI","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Lao People's Democratic Republic",Registered,2015-06-18T00:00:00.000Z,2045-06-17T00:00:00.000Z,0,0,0,0
"Farm Forestry Initiatives for Promotion of Community Livelihoods and Climate Resilience in Odisha, India","5031","Kosher Climate India Pvt. Ltd.","Verra","VM0047","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Cogeneration of power and steam from Bioener S.A´s forestry waste","T14T4PDVOSO7QPRY8YZG9ROJ4P7XSP","Carbosur","CDM Registry","CDM - AMS-I.C.; AMS-III.E.","NA","Uruguay",Registered,2011-10-11T00:00:00.000Z,2018-10-10T00:00:00.000Z,0,0,0,0
"Farm Forestry Initiatives for Promotion of Community Livelihoods and Climate Resilience in Odisha, India","5031","Kosher Climate India Pvt. Ltd.","Verra","VM0047","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Forestry Project in Strategic Ecological Areas of the Colombian Caribbean Savannas","C7MOGSFI4OAAF0P5D30SCOA2P4MJTS","CAF","CDM Registry","CDM - AR-AM0005","Afforestation and reforestation","Colombia",Registered,2003-06-01T00:00:00.000Z,2033-05-31T00:00:00.000Z,1062660,1062660,0,1062660
"Reforestation of pasture lands on the Peruvian Northern Andes – “Forestry PRODICOM” Grouped Project","1397","Not specified","Verra","AR-AMS0007","Agriculture; forestry and fishing","Peru",Registered,,,0,0,0,0
"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en los municipios de Sucre y el Peñón Santander, Colombia.","27","AGI Ambiental","Cercarbono","CDM - ACM0002: Grid-connected electricity generation from renewable sources","Agriculture; forestry and fishing","Colombia",Registered,,,0,18396,15637,2759
"MOTOR VERDE FORESTRY CARBON PROJECT - GRANDAS DE SALIME (SPAIN)","3813","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Spain",Listed,,,0,0,0,0
